Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud,IATA,ICAO,Airport name,Country,City,Information
68,SANTANDER,68081,barrancabermeja,Municipio,"-73,849243","7,064857",EJA,SKEJ,Yariguíes Airport,Colombia,barrancabermeja,https://www.worlddata.info/america/colombia/airports.php
68,SANTANDER,68190,cimitarra,Municipio,"-73,953011","6,320886",CIM,SKCM,Cimitarra Airport,Colombia,cimitarra,https://www.worlddata.info/america/colombia/airports.php
68,SANTANDER,68655,sabana de torres,Municipio,"-73,49906","7,391919",SNT,,Las Cruces Airport,Colombia,sabana de torres,https://www.worlddata.info/america/colombia/airports.php
68,SANTANDER,68669,san andrés,Municipio,"-72,848864","6,811511",ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,san andrés,https://www.worlddata.info/america/colombia/airports.php
68,SANTANDER,68895,zapatoca,Municipio,"-73,268034","6,814387",AZT,,Zapatoca Airport,Colombia,zapatoca,https://www.worlddata.info/america/colombia/airports.php
70,SUCRE,70215,corozal,Municipio,"-75,293048","9,318749",CZU,SKCZ,Las Brujas Airport,Colombia,corozal,https://www.worlddata.info/america/colombia/airports.php
70,SUCRE,70221,coveñas,Municipio,"-75,680158","9,402779",CVE,SKCV,Coveñas Airport,Colombia,coveñas,https://www.worlddata.info/america/colombia/airports.php
70,SUCRE,70708,san marcos,Municipio,"-75,133831","8,661774",SRS,SKSR,San Marcos Airport,Colombia,san marcos,https://www.worlddata.info/america/colombia/airports.php
70,SUCRE,70820,santiago de tolú,Municipio,"-75,581112","9,525387",TLU,SKTL,Golfo de Morrosquillo Airport,Colombia,santiago de tolú,https://www.worlddata.info/america/colombia/airports.php
73,TOLIMA,73001,ibagué,Municipio,"-75,19425","4,432248",IBE,SKIB,Perales Airport,Colombia,ibagué,https://www.worlddata.info/america/colombia/airports.php
73,TOLIMA,73168,chaparral,Municipio,"-75,480765","3,722918",CPL,SKHA,General Navas Pardo Airport,Colombia,chaparral,https://www.worlddata.info/america/colombia/airports.php
73,TOLIMA,73547,piedras,Municipio,"-74,878106","4,543951",SQB,,Santa Ana Airport,Colombia,piedras,https://www.worlddata.info/america/colombia/airports.php
76,VALLE DEL CAUCA,76109,buenaventura,Municipio,"-77,01074","3,875708",BUN,SKBU,Gerardo Tobar López Airport,Colombia,buenaventura,https://www.worlddata.info/america/colombia/airports.php
76,VALLE DEL CAUCA,76147,cartago,Municipio,"-75,924374","4,742192",CRC,SKGO,Santa Ana Airport,Colombia,cartago,https://www.worlddata.info/america/colombia/airports.php
